Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2834381-2834381	NC_035780.1	2834381	2834381		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1957	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839659-2839659	NC_035780.1	2839659	2839659		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1091	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839817-2839817	NC_035780.1	2839817	2839817		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1249	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840041-2840041	NC_035780.1	2840041	2840041		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1473	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840333-2840333	NC_035780.1	2840333	2840333		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1765	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840334-2840334	NC_035780.1	2840334	2840334		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1766	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840843-2840843	NC_035780.1	2840843	2840843		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	2275	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840943-2840943	NC_035780.1	2840943	2840943		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	2375	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840954-2840954	NC_035780.1	2840954	2840954		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	2386	1.0	1.0	1.0	1.0
ChrNC_035780.1:2841791-2841791	NC_035780.1	2841791	2841791		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	3223	1.0	1.0	1.0	1.0
