Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2834539-2834539	NC_035780.1	2834539	2834539		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1799	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834571-2834571	NC_035780.1	2834571	2834571		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1767	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834893-2834893	NC_035780.1	2834893	2834893		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1445	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834897-2834897	NC_035780.1	2834897	2834897		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1441	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834918-2834918	NC_035780.1	2834918	2834918		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1420	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834922-2834922	NC_035780.1	2834922	2834922		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1416	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834924-2834924	NC_035780.1	2834924	2834924		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1414	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834995-2834995	NC_035780.1	2834995	2834995		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1343	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835039-2835039	NC_035780.1	2835039	2835039		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1299	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835058-2835058	NC_035780.1	2835058	2835058		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1280	1.0	1.0	1.0	1.0
