Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2840333-2840333	NC_035780.1	2840333	2840333		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1765	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840334-2840334	NC_035780.1	2840334	2840334		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1766	1.0	1.0	1.0	1.0
ChrNC_035780.1:3398424-3398424	NC_035780.1	3398424	3398424		gene-NC_035780.1:3399989..3408434	gene-NC_035780.1:3399989..3408434	gene.82409730	-	gene	upstream	1565	1.0	1.0	1.0	1.0
ChrNC_035780.1:3399957-3399957	NC_035780.1	3399957	3399957		gene-NC_035780.1:3399989..3408434	gene-NC_035780.1:3399989..3408434	gene.82409730	-	gene	upstream	32	1.0	1.0	1.0	1.0
ChrNC_035780.1:8095456-8095456	NC_035780.1	8095456	8095456		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:11059531-11059531	NC_035780.1	11059531	11059531		gene-NC_035780.1:11031525..11064414	gene-NC_035780.1:11031525..11064414	gene.295786212	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:17781258-17781258	NC_035780.1	17781258	17781258		gene-NC_035780.1:17780298..17781648	gene-NC_035780.1:17780298..17781648	gene.11083458628	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:27743931-27743931	NC_035780.1	27743931	27743931		gene-NC_035780.1:27744623..27756500	gene-NC_035780.1:27744623..27756500	gene.4379917556	-	gene	upstream	692	1.0	1.0	1.0	1.0
ChrNC_035780.1:27747607-27747607	NC_035780.1	27747607	27747607		gene-NC_035780.1:27744623..27756500	gene-NC_035780.1:27744623..27756500	gene.4379917556	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:29426473-29426473	NC_035780.1	29426473	29426473		gene-NC_035780.1:29421436..29432997	gene-NC_035780.1:29421436..29432997	gene.8904516820	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:30876359-30876359	NC_035780.1	30876359	30876359		gene-NC_035780.1:30877592..30879749	gene-NC_035780.1:30877592..30879749	gene.68295602	-	gene	upstream	1233	1.0	1.0	1.0	1.0
ChrNC_035780.1:30878392-30878392	NC_035780.1	30878392	30878392		gene-NC_035780.1:30877592..30879749	gene-NC_035780.1:30877592..30879749	gene.68295602	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:30878433-30878433	NC_035780.1	30878433	30878433		gene-NC_035780.1:30877592..30879749	gene-NC_035780.1:30877592..30879749	gene.68295602	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:30882715-30882715	NC_035780.1	30882715	30882715		gene-NC_035780.1:30880243..30882534	gene-NC_035780.1:30880243..30882534	gene.65252610	-	gene	downstream	181	1.0	1.0	1.0	1.0
ChrNC_035780.1:31457725-31457725	NC_035780.1	31457725	31457725		gene-NC_035780.1:31453788..31455103	gene-NC_035780.1:31453788..31455103	gene.70924674	+	gene	upstream	2622	1.0	1.0	1.0	1.0
ChrNC_035780.1:31459102-31459102	NC_035780.1	31459102	31459102		gene-NC_035780.1:31453788..31455103	gene-NC_035780.1:31453788..31455103	gene.70924674	+	gene	upstream	3999	1.0	1.0	1.0	1.0
ChrNC_035780.1:37914939-37914939	NC_035780.1	37914939	37914939		gene-NC_035780.1:37911596..37930653	gene-NC_035780.1:37911596..37930653	gene.9921633668	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:37914946-37914946	NC_035780.1	37914946	37914946		gene-NC_035780.1:37911596..37930653	gene-NC_035780.1:37911596..37930653	gene.9921633668	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:37914947-37914947	NC_035780.1	37914947	37914947		gene-NC_035780.1:37911596..37930653	gene-NC_035780.1:37911596..37930653	gene.9921633668	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:37915599-37915599	NC_035780.1	37915599	37915599		gene-NC_035780.1:37911596..37930653	gene-NC_035780.1:37911596..37930653	gene.9921633668	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:37915741-37915741	NC_035780.1	37915741	37915741		gene-NC_035780.1:37911596..37930653	gene-NC_035780.1:37911596..37930653	gene.9921633668	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:37915807-37915807	NC_035780.1	37915807	37915807		gene-NC_035780.1:37911596..37930653	gene-NC_035780.1:37911596..37930653	gene.9921633668	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:39899086-39899086	NC_035780.1	39899086	39899086		gene-NC_035780.1:39897393..39946457	gene-NC_035780.1:39897393..39946457	gene.8528083940	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47924741-47924741	NC_035780.1	47924741	47924741		gene-NC_035780.1:47923686..47925768	gene-NC_035780.1:47923686..47925768	gene.94315666	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47924989-47924989	NC_035780.1	47924989	47924989		gene-NC_035780.1:47923686..47925768	gene-NC_035780.1:47923686..47925768	gene.94315666	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47925714-47925714	NC_035780.1	47925714	47925714		gene-NC_035780.1:47923686..47925768	gene-NC_035780.1:47923686..47925768	gene.94315666	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47926102-47926102	NC_035780.1	47926102	47926102		gene-NC_035780.1:47925902..47940663	gene-NC_035780.1:47925902..47940663	gene.7352853	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47927366-47927366	NC_035780.1	47927366	47927366		gene-NC_035780.1:47925902..47940663	gene-NC_035780.1:47925902..47940663	gene.7352853	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47927510-47927510	NC_035780.1	47927510	47927510		gene-NC_035780.1:47925902..47940663	gene-NC_035780.1:47925902..47940663	gene.7352853	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47928254-47928254	NC_035780.1	47928254	47928254		gene-NC_035780.1:47925902..47940663	gene-NC_035780.1:47925902..47940663	gene.7352853	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47929470-47929470	NC_035780.1	47929470	47929470		gene-NC_035780.1:47925902..47940663	gene-NC_035780.1:47925902..47940663	gene.7352853	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:47929481-47929481	NC_035780.1	47929481	47929481		gene-NC_035780.1:47925902..47940663	gene-NC_035780.1:47925902..47940663	gene.7352853	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:58670698-58670698	NC_035780.1	58670698	58670698		gene-NC_035780.1:58667565..58670087	gene-NC_035780.1:58667565..58670087	gene.66550994	+	gene	upstream	611	1.0	1.0	1.0	1.0
ChrNC_035780.1:58676072-58676072	NC_035780.1	58676072	58676072		gene-NC_035780.1:58671839..58675618	gene-NC_035780.1:58671839..58675618	gene.10931412548	+	gene	upstream	454	1.0	1.0	1.0	1.0
ChrNC_035780.1:63558219-63558219	NC_035780.1	63558219	63558219		gene-NC_035780.1:63555589..63576266	gene-NC_035780.1:63555589..63576266	gene.4070593380	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:4075324-4075324	NC_035781.1	4075324	4075324		gene-NC_035781.1:4071877..4076277	gene-NC_035781.1:4071877..4076277	gene.307313956	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:29858785-29858785	NC_035781.1	29858785	29858785		gene-NC_035781.1:29857616..29874398	gene-NC_035781.1:29857616..29874398	gene.7477404484	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:43577077-43577077	NC_035781.1	43577077	43577077		gene-NC_035781.1:43577474..43580261	gene-NC_035781.1:43577474..43580261	gene.1580231748	+	gene	downstream	397	1.0	1.0	1.0	1.0
ChrNC_035781.1:43577102-43577102	NC_035781.1	43577102	43577102		gene-NC_035781.1:43577474..43580261	gene-NC_035781.1:43577474..43580261	gene.1580231748	+	gene	downstream	372	1.0	1.0	1.0	1.0
ChrNC_035781.1:43577104-43577104	NC_035781.1	43577104	43577104		gene-NC_035781.1:43577474..43580261	gene-NC_035781.1:43577474..43580261	gene.1580231748	+	gene	downstream	370	1.0	1.0	1.0	1.0
ChrNC_035781.1:43578852-43578852	NC_035781.1	43578852	43578852		gene-NC_035781.1:43577474..43580261	gene-NC_035781.1:43577474..43580261	gene.1580231748	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:45784951-45784951	NC_035781.1	45784951	45784951		gene-NC_035781.1:45785754..45798298	gene-NC_035781.1:45785754..45798298	gene.107120548	+	gene	downstream	803	1.0	1.0	1.0	1.0
ChrNC_035781.1:45785156-45785156	NC_035781.1	45785156	45785156		gene-NC_035781.1:45785754..45798298	gene-NC_035781.1:45785754..45798298	gene.107120548	+	gene	downstream	598	1.0	1.0	1.0	1.0
ChrNC_035781.1:48630146-48630146	NC_035781.1	48630146	48630146		gene-NC_035781.1:48628840..48633676	gene-NC_035781.1:48628840..48633676	gene.8295291540	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:48630658-48630658	NC_035781.1	48630658	48630658		gene-NC_035781.1:48628840..48633676	gene-NC_035781.1:48628840..48633676	gene.8295291540	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:60562791-60562791	NC_035781.1	60562791	60562791		gene-NC_035781.1:60557777..60571440	gene-NC_035781.1:60557777..60571440	gene.84082356	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:60562794-60562794	NC_035781.1	60562794	60562794		gene-NC_035781.1:60557777..60571440	gene-NC_035781.1:60557777..60571440	gene.84082356	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6260960-6260960	NC_035782.1	6260960	6260960		gene-NC_035782.1:6257699..6263526	gene-NC_035782.1:6257699..6263526	gene.12653172404	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6261543-6261543	NC_035782.1	6261543	6261543		gene-NC_035782.1:6257699..6263526	gene-NC_035782.1:6257699..6263526	gene.12653172404	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6261548-6261548	NC_035782.1	6261548	6261548		gene-NC_035782.1:6257699..6263526	gene-NC_035782.1:6257699..6263526	gene.12653172404	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:12734809-12734809	NC_035782.1	12734809	12734809		gene-NC_035782.1:12732302..12741674	gene-NC_035782.1:12732302..12741674	gene.5692732868	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:24967962-24967962	NC_035782.1	24967962	24967962		gene-NC_035782.1:24963628..24968527	gene-NC_035782.1:24963628..24968527	gene.556848836	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25513817-25513817	NC_035782.1	25513817	25513817		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25516733-25516733	NC_035782.1	25516733	25516733		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25516734-25516734	NC_035782.1	25516734	25516734		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25516751-25516751	NC_035782.1	25516751	25516751		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25516828-25516828	NC_035782.1	25516828	25516828		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25516875-25516875	NC_035782.1	25516875	25516875		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25517743-25517743	NC_035782.1	25517743	25517743		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25517761-25517761	NC_035782.1	25517761	25517761		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:63594300-63594300	NC_035782.1	63594300	63594300		gene-NC_035782.1:63589070..63597084	gene-NC_035782.1:63589070..63597084	gene.5318395044	+	gene	overlapping	0	1.0	1.0	1.0	1.0
