Gene	source	annot
22430393	high gene expression and blast to Meng	cysteine sulfinic acid decarboxylase-like
22430406	high Fst	G-protein coupled receptor 157-like, transcript variant X3
22430468	Random	Sodium & CL glycine transporter
22430824	high Fst and gene expression	E3 ubiquitin-protein ligase TRIM33-like
22430888	She 2018	Heat shock 70 kDa protein 12A
22431296	She 2018	Baculoviral IAP repeat-containing protein 3
22431333	high Fst and gene expression	protein FAM124A-like
22431880	Random	proteasomal ATPase
22431904	Random	cation transporter
22431981	high gene expression	proline -rich transmembrane protein
22432300	She 2018	Solute carrier family 22 member 13
22433588	Random	serine/theronine kinase
22434054	high gene expression	laccase-like
22434109	high gene expression	laccase-like
22434541	high gene expression	putative cytochrome P450
22434694	Random	ubiquitin ligase
22434894	She and Meng	Aquaporin-2 
22434918	She 2018	Heat shock 70 kDa protein 12A
22434940	high gene expression	putative cytochrome P450
22435092	She 2018	Glutathione peroxidase
22436272	Random	leucine rich repeat containing G-protein coupled receptor
22436490	Random	basic phospholipase A2 3-like%2C transcript variant X2
22436553	Random	phospholipase D1-like%2C transcript variant X6
22436563	Random	phospholipase D1-like%2C transcript variant X6
22436694	She 2018	Stress-induced protein 1 
22436805	high gene expression	elongation-factor 2-like
22436855	Random	ubiquinene biosynthesis
22437155	She and Meng	Aquaporin-2 
22438566	She 2018	Complement C1q-like protein 4
22439003	Random	glycine N-acyltransferase-like%2C transcript variant X3
22439132	Random	allene oxide synthase-lipoxygenase protein-like
22439749	She 2018	Stress-induced protein 1 
22440183	blast to Meng	Voltage-gated potassium channel subunit beta-2
22440622	She and Meng	Ornithine aminotransferase, mitochondrial
22441293	Random	aminotransferase
22441408	Random	proline-rich protein 2-like
22442553	Random	proline-rich protein 2-like
22442587	Random	sodium-dependent transporter
22443236	Random	phosphatidylinositol-gylcan phospholipase
22443320	blast to Meng	Alanine aminotransferase 2 
22443787	Random	sodium-dependent transporter
22444711	high Fst	phospholipase A2 inhibitor-like
22445237	She 2018	Apoptosis inhibitor IAP
22445527	She 2018	Complement C1q-like protein 3
22446053	high gene expression and She	Cytochrome P450 1A2
22446194	Random	G-protein coupled receptor 84-like
22446304	Random	G-protein coupled receptor 84-like
22446487	She 2018	Complement C1q tumor necrosis factor-related protein 3
22447067	She 2018	Cytochrome P450 3A9
22448581	Random	trans-L-3-hydroxyproline dehydratase-like
22449029	Random	glycine-rich cell wall structural protein 1.0-like
22449286	Random	G-protein coupled receptor
22449816	high gene expression and Fst	uncharacterized LOC111112363
22450164	Random	proline-rich protein 36-like
22450705	She 2018	Scavenger receptor class F member 2 
22450779	high gene expression	proteolysis
22450804	blast to Meng	Aquaporin 
22451203	She and Meng	Ornithine aminotransferase, mitochondrial
22451612	She 2018	Scavenger receptor class F member 2 
22451937	She 2018	Scavenger receptor class F member 2 
22452045	She 2018	Scavenger receptor class F member 2 
22452319	high Fst	mdm2-binding protein-like
22452419	high Fst	uncharacterized LOC111114130
22452520	She 2018	Extracellular superoxide dismutase [Cu-Zn]
22452549	blast to Meng	Serine hydroxymethyltransferase
22454252	high gene expression	laccase-like
22454361	Random	glycine-rich cell wall structural protein 1.8-like
22454425	blast to Meng	Aldehyde dehydrogenase family 3 member B1 
22454561	high gene expression	glycine tRNA-ligase like
22454898	high gene expression	cytochrome P450
22455052	high gene expression	phosphoserine aminotransferase-like
22455316	Random	uncharacterized metal-dependent hydrolase YcfH-like
22455366	She 2018	Apoptosis inhibitor IAP
22455398	Random	proline-%2C glutamic acid- and leucine-rich protein 1-like
22455638	Random	cation ion channel
22455778	Random	receptor-type tyrosine-protein phosphatase mu-like%2C transcript variant X2
22455865	high gene expression	sodium dependent proline transporter
22455926	Random	cation channel
22456218	She 2018	Apoptosis inhibitor IAP
22456272	Random	G-protein coupled receptor daf-37-like
22456387	high Fst and gene expression	uncharacterized LOC111117323, transcript variant X2
22456689	Random	cytochrome P450 2C8-like%2C transcript variant X1
22457334	high Fst and gene expression	uncharacterized LOC111118044
22457562	Random	gluthathione peroxidase
22458334	She 2018	Glutathione peroxidase
22460042	high Fst and gene expression	protein FAM124A-like
22460202	Random	glycine dehydrogenase
22460685	high gene expression	phospholipase B-like
22460911	Random	glutathione peroxidase-like
22462887	She 2018	Amino acid transporter
22463410	high gene expression	hydroxymethyltransferase, cytosolic-like
22463458	high gene expression	 cytochrome P450
22464577	high Fst and gene expression	stimulated by retinoic acid gene 6 protein-like, transcript variant X1
22464888	Meng	XM: sodium- and chloride-dependent glycine transporter
22464985	She and Meng	XM: sodium-dependent proline transporter-like
22465298	high Fst	putative RNA polymerase II subunit B1 CTD phosphatase RPAP2, transcript variant X2
22466570	She 2018	Apoptosis 1 inhibitor
22467005	high Fst	uncharacterized LOC111124140
22468365	high gene expression	sodium and chloride dependent glycine transporter
22468800	high Fst and gene expression	tetraspanin-9-like
22468985	high Fst and gene expression	senecionine N-oxygenase-like, transcript variant X2
22469890	high Fst and gene expression	uncharacterized LOC111125771, transcript variant X4
22470031	high gene expression and Meng	carnosine biosynthetic process
22470155	Random	laccase-like
22470793	She 2018	Heat shock 70 kDa protein 12A
22471374	high gene expression	 leucine-rich repeat-containing G-protein coupled receptor 4-like
22472777	Random	probable G-protein coupled receptor B0563.6
22473041	Random	ubiquitin ligase
22473715	high gene expression	calmodulin-like protein 12
22473945	Meng	Elongation factor 1-alpha
22474134	Meng	 Sodium channel protein
22474586	Meng	Pyrroline-5-carboxylate reductase 1, mitochondrial
22475409	high gene expression	ubiquitin-associated protein 1-like
22475569	She and Meng	Potassium voltage-gated channel protein Shaker 
22475843	high gene expression	calmodulin-like protein 12
22475896	Meng	Glutamate dehydrogenase 
22476633	high gene expression	G-protein coupled receptor
22476912	high gene expression	cytochrome P450
22477215	high Fst and gene expression	insulin-like growth factor-binding protein complex acid labile subunit
22477222	high Fst and gene expression	uncharacterized LOC111130317, transcript variant X2
22477495	high Fst	phospholipase D3-like
22477509	She 2018	Glutathione peroxidase
22478000	high Fst	peptidylglycine alpha-hydroxylating monooxygenase-like
22478290	Meng	Arginase
22478344	Meng	Elongation factor 1-alpha
22479437	high Fst	cytochrome P450 4F4-like
22480006	She and Meng	Taurine Transporter
22480141	high Fst and gene expression	uncharacterized LOC111132339
22480648	high gene expression	oxidation-reduction process
22480765	high Fst and gene expression	trimethyllysine dioxygenase, mitochondrial-like, transcript variant X3
22480821	Meng	Glycine dehydrogenase [decarboxylating], mitochondrial
22481694	high gene expression	proline-rich proteoglycan 2-like
22482159	Meng	 Small conductance calcium-activated potassium channel protein 2 
22483029	high gene expression	cytochrome P450
22483345	Random	glycine rice cell wall structured protein
22483747	high gene expression	sodium and chloride dependent glycine transporter
22484654	Meng	Aldehyde dehydrogenase family 3 member B1 
22484786	high Fst and gene expression	protein polyglycylase TTLL10-like, transcript variant X6
22484795	high Fst and gene expression	solute carrier family 2, facilitated glucose transporter member 1-like
22485000	She and Meng	 Chloride channel protein 
22486585	Random	proline dehydrogenase
22486637	Meng	Potassium voltage-gated channel subfamily C member 2
22486922	Meng	Delta-1-pyrroline-5-carboxylate synthetase
22487067	high Fst and gene expression	uncharacterized LOC111136309, transcript variant X1
22487619	high gene expression	proline-rich proteoglycan 2-like
22487821	high Fst	polycystic kidney disease protein 1-like 2
22487945	Meng	Spermidine synthase
22488834	Meng	Heat shock protein beta-1 
22489065	She 2018	Cytochrome P450 1A2
22489168	high gene expression 	cytochrome P450
22490241	Meng	Cysteine sulfinic acid decarboxylase
