Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:8092487-8092487	NC_035780.1	8092487	8092487		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:11059847-11059847	NC_035780.1	11059847	11059847		gene-NC_035780.1:11031525..11064414	gene-NC_035780.1:11031525..11064414	gene.295786212	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:27748632-27748632	NC_035780.1	27748632	27748632		gene-NC_035780.1:27744623..27756500	gene-NC_035780.1:27744623..27756500	gene.4379917556	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:4072501-4072501	NC_035781.1	4072501	4072501		gene-NC_035781.1:4071877..4076277	gene-NC_035781.1:4071877..4076277	gene.307313956	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:4072517-4072517	NC_035781.1	4072517	4072517		gene-NC_035781.1:4071877..4076277	gene-NC_035781.1:4071877..4076277	gene.307313956	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:4072520-4072520	NC_035781.1	4072520	4072520		gene-NC_035781.1:4071877..4076277	gene-NC_035781.1:4071877..4076277	gene.307313956	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:4072557-4072557	NC_035781.1	4072557	4072557		gene-NC_035781.1:4071877..4076277	gene-NC_035781.1:4071877..4076277	gene.307313956	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6261107-6261107	NC_035782.1	6261107	6261107		gene-NC_035782.1:6257699..6263526	gene-NC_035782.1:6257699..6263526	gene.12653172404	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25515049-25515049	NC_035782.1	25515049	25515049		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:49815454-49815454	NC_035782.1	49815454	49815454		gene-NC_035782.1:49815038..49817320	gene-NC_035782.1:49815038..49817320	gene.1838185140	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:72897957-72897957	NC_035782.1	72897957	72897957		gene-NC_035782.1:72895110..72903701	gene-NC_035782.1:72895110..72903701	gene.11671705060	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035783.1:10900156-10900156	NC_035783.1	10900156	10900156		gene-NC_035783.1:10894861..10902427	gene-NC_035783.1:10894861..10902427	gene.10329531268	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035783.1:10900198-10900198	NC_035783.1	10900198	10900198		gene-NC_035783.1:10894861..10902427	gene-NC_035783.1:10894861..10902427	gene.10329531268	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035783.1:22126700-22126700	NC_035783.1	22126700	22126700		gene-NC_035783.1:22123130..22127548	gene-NC_035783.1:22123130..22127548	gene.64887282	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035783.1:42610980-42610980	NC_035783.1	42610980	42610980		gene-NC_035783.1:42607312..42618017	gene-NC_035783.1:42607312..42618017	gene.7809802388	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035784.1:44015660-44015660	NC_035784.1	44015660	44015660		gene-NC_035784.1:44007572..44015153	gene-NC_035784.1:44007572..44015153	gene.96773266	+	gene	upstream	507	1.0	1.0	1.0	1.0
ChrNC_035784.1:44017023-44017023	NC_035784.1	44017023	44017023		gene-NC_035784.1:44017178..44031533	gene-NC_035784.1:44017178..44031533	gene.3220198788	+	gene	downstream	155	1.0	1.0	1.0	1.0
ChrNC_035784.1:51327398-51327398	NC_035784.1	51327398	51327398		gene-NC_035784.1:51327455..51374391	gene-NC_035784.1:51327455..51374391	gene.29685316	-	gene	upstream	57	1.0	1.0	1.0	1.0
ChrNC_035784.1:51329264-51329264	NC_035784.1	51329264	51329264		gene-NC_035784.1:51327455..51374391	gene-NC_035784.1:51327455..51374391	gene.29685316	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035786.1:2668795-2668795	NC_035786.1	2668795	2668795		gene-NC_035786.1:2666455..2669945	gene-NC_035786.1:2666455..2669945	gene.172120644	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035786.1:39697967-39697967	NC_035786.1	39697967	39697967		gene-NC_035786.1:39693594..39702457	gene-NC_035786.1:39693594..39702457	gene.2211478052	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035786.1:46229088-46229088	NC_035786.1	46229088	46229088		gene-NC_035786.1:46230132..46266500	gene-NC_035786.1:46230132..46266500	gene.2230349332	-	gene	upstream	1044	1.0	1.0	1.0	1.0
ChrNC_035787.1:34872016-34872016	NC_035787.1	34872016	34872016		gene-NC_035787.1:34871704..34878171	gene-NC_035787.1:34871704..34878171	gene.14003737124	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035787.1:50495435-50495435	NC_035787.1	50495435	50495435		gene-NC_035787.1:50495475..50499869	gene-NC_035787.1:50495475..50499869	gene.97432930	+	gene	downstream	40	1.0	1.0	1.0	1.0
ChrNC_035787.1:50495441-50495441	NC_035787.1	50495441	50495441		gene-NC_035787.1:50495475..50499869	gene-NC_035787.1:50495475..50499869	gene.97432930	+	gene	downstream	34	1.0	1.0	1.0	1.0
ChrNC_035788.1:18531263-18531263	NC_035788.1	18531263	18531263		gene-NC_035788.1:18530299..18530962	gene-NC_035788.1:18530299..18530962	gene.83880018	+	gene	upstream	301	1.0	1.0	1.0	1.0
ChrNC_035788.1:18532057-18532057	NC_035788.1	18532057	18532057		gene-NC_035788.1:18530299..18530962	gene-NC_035788.1:18530299..18530962	gene.83880018	+	gene	upstream	1095	1.0	1.0	1.0	1.0
ChrNC_035788.1:64954670-64954670	NC_035788.1	64954670	64954670		gene-NC_035788.1:64951690..64960841	gene-NC_035788.1:64951690..64960841	gene.8710527620	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035788.1:64956136-64956136	NC_035788.1	64956136	64956136		gene-NC_035788.1:64951690..64960841	gene-NC_035788.1:64951690..64960841	gene.8710527620	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035788.1:72582623-72582623	NC_035788.1	72582623	72582623		gene-NC_035788.1:72579671..72585862	gene-NC_035788.1:72579671..72585862	gene.837857748	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035789.1:3182090-3182090	NC_035789.1	3182090	3182090		gene-NC_035789.1:3178694..3179348	gene-NC_035789.1:3178694..3179348	gene.452031076	-	gene	downstream	2742	1.0	1.0	1.0	1.0
