Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:8093728-8093728	NC_035780.1	8093728	8093728		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:27749182-27749182	NC_035780.1	27749182	27749182		gene-NC_035780.1:27744623..27756500	gene-NC_035780.1:27744623..27756500	gene.4379917556	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:4072947-4072947	NC_035781.1	4072947	4072947		gene-NC_035781.1:4071877..4076277	gene-NC_035781.1:4071877..4076277	gene.307313956	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:34653198-34653198	NC_035781.1	34653198	34653198		gene-NC_035781.1:34649419..34662228	gene-NC_035781.1:34649419..34662228	gene.392231252	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:34653430-34653430	NC_035781.1	34653430	34653430		gene-NC_035781.1:34649419..34662228	gene-NC_035781.1:34649419..34662228	gene.392231252	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:34653435-34653435	NC_035781.1	34653435	34653435		gene-NC_035781.1:34649419..34662228	gene-NC_035781.1:34649419..34662228	gene.392231252	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6258679-6258679	NC_035782.1	6258679	6258679		gene-NC_035782.1:6257699..6263526	gene-NC_035782.1:6257699..6263526	gene.12653172404	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6259133-6259133	NC_035782.1	6259133	6259133		gene-NC_035782.1:6257699..6263526	gene-NC_035782.1:6257699..6263526	gene.12653172404	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:12737114-12737114	NC_035782.1	12737114	12737114		gene-NC_035782.1:12732302..12741674	gene-NC_035782.1:12732302..12741674	gene.5692732868	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:19536805-19536805	NC_035782.1	19536805	19536805		gene-NC_035782.1:19533519..19573122	gene-NC_035782.1:19533519..19573122	gene.10762593652	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:49811598-49811598	NC_035782.1	49811598	49811598		gene-NC_035782.1:49811888..49815006	gene-NC_035782.1:49811888..49815006	gene.1838184564	-	gene	upstream	290	1.0	1.0	1.0	1.0
ChrNC_035782.1:54748677-54748677	NC_035782.1	54748677	54748677		gene-NC_035782.1:54743286..54746807	gene-NC_035782.1:54743286..54746807	gene.64364354	-	gene	downstream	1870	1.0	1.0	1.0	1.0
ChrNC_035782.1:71310963-71310963	NC_035782.1	71310963	71310963		gene-NC_035782.1:71309279..71317328	gene-NC_035782.1:71309279..71317328	gene.11404318292	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:72896049-72896049	NC_035782.1	72896049	72896049		gene-NC_035782.1:72895110..72903701	gene-NC_035782.1:72895110..72903701	gene.11671705060	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:72896211-72896211	NC_035782.1	72896211	72896211		gene-NC_035782.1:72895110..72903701	gene-NC_035782.1:72895110..72903701	gene.11671705060	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:72896217-72896217	NC_035782.1	72896217	72896217		gene-NC_035782.1:72895110..72903701	gene-NC_035782.1:72895110..72903701	gene.11671705060	-	gene	overlapping	0	1.0	1.0	1.0	1.0
