Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2835232-2835232	NC_035780.1	2835232	2835232		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1106	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835295-2835295	NC_035780.1	2835295	2835295		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1043	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835702-2835702	NC_035780.1	2835702	2835702		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	636	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835711-2835711	NC_035780.1	2835711	2835711		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	627	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835795-2835795	NC_035780.1	2835795	2835795		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	543	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835822-2835822	NC_035780.1	2835822	2835822		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	516	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835833-2835833	NC_035780.1	2835833	2835833		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	505	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839880-2839880	NC_035780.1	2839880	2839880		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1312	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840185-2840185	NC_035780.1	2840185	2840185		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1617	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840399-2840399	NC_035780.1	2840399	2840399		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1831	1.0	1.0	1.0	1.0
