Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2835702-2835702	NC_035780.1	2835702	2835702		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	636	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835711-2835711	NC_035780.1	2835711	2835711		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	627	1.0	1.0	1.0	1.0
ChrNC_035780.1:31454228-31454228	NC_035780.1	31454228	31454228		gene-NC_035780.1:31453788..31455103	gene-NC_035780.1:31453788..31455103	gene.70924674	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:29862048-29862048	NC_035781.1	29862048	29862048		gene-NC_035781.1:29857616..29874398	gene-NC_035781.1:29857616..29874398	gene.7477404484	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:29862058-29862058	NC_035781.1	29862058	29862058		gene-NC_035781.1:29857616..29874398	gene-NC_035781.1:29857616..29874398	gene.7477404484	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25513205-25513205	NC_035782.1	25513205	25513205		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	downstream	399	1.0	1.0	1.0	1.0
ChrNC_035783.1:273402-273402	NC_035783.1	273402	273402		gene-NC_035783.1:273877..275325	gene-NC_035783.1:273877..275325	gene.70949714	-	gene	upstream	475	1.0	1.0	1.0	1.0
ChrNC_035783.1:42606488-42606488	NC_035783.1	42606488	42606488		gene-NC_035783.1:42604389..42606126	gene-NC_035783.1:42604389..42606126	gene.55450898	+	gene	upstream	362	1.0	1.0	1.0	1.0
ChrNC_035783.1:42606500-42606500	NC_035783.1	42606500	42606500		gene-NC_035783.1:42604389..42606126	gene-NC_035783.1:42604389..42606126	gene.55450898	+	gene	upstream	374	1.0	1.0	1.0	1.0
ChrNC_035783.1:42606501-42606501	NC_035783.1	42606501	42606501		gene-NC_035783.1:42604389..42606126	gene-NC_035783.1:42604389..42606126	gene.55450898	+	gene	upstream	375	1.0	1.0	1.0	1.0
ChrNC_035784.1:2081624-2081624	NC_035784.1	2081624	2081624		gene-NC_035784.1:2082421..2090565	gene-NC_035784.1:2082421..2090565	gene.12240033556	+	gene	downstream	797	1.0	1.0	1.0	1.0
ChrNC_035784.1:24569416-24569416	NC_035784.1	24569416	24569416		gene-NC_035784.1:24569518..24589385	gene-NC_035784.1:24569518..24589385	gene.4812979092	-	gene	upstream	102	1.0	1.0	1.0	1.0
ChrNC_035785.1:3383890-3383890	NC_035785.1	3383890	3383890		gene-NC_035785.1:3381821..3393815	gene-NC_035785.1:3381821..3393815	gene.9770638196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035786.1:29144455-29144455	NC_035786.1	29144455	29144455		gene-NC_035786.1:29142437..29146742	gene-NC_035786.1:29142437..29146742	gene.9177145172	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035787.1:7282207-7282207	NC_035787.1	7282207	7282207		gene-NC_035787.1:7283791..7288747	gene-NC_035787.1:7283791..7288747	gene.77797666	+	gene	downstream	1584	1.0	1.0	1.0	1.0
ChrNC_035787.1:7992531-7992531	NC_035787.1	7992531	7992531		gene-NC_035787.1:7991834..7995660	gene-NC_035787.1:7991834..7995660	gene.14542705076	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035787.1:7992534-7992534	NC_035787.1	7992534	7992534		gene-NC_035787.1:7991834..7995660	gene-NC_035787.1:7991834..7995660	gene.14542705076	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035787.1:52043693-52043693	NC_035787.1	52043693	52043693		gene-NC_035787.1:52044450..52050909	gene-NC_035787.1:52044450..52050909	gene.9373231140	+	gene	downstream	757	1.0	1.0	1.0	1.0
ChrNC_035787.1:52043694-52043694	NC_035787.1	52043694	52043694		gene-NC_035787.1:52044450..52050909	gene-NC_035787.1:52044450..52050909	gene.9373231140	+	gene	downstream	756	1.0	1.0	1.0	1.0
ChrNC_035787.1:52043696-52043696	NC_035787.1	52043696	52043696		gene-NC_035787.1:52044450..52050909	gene-NC_035787.1:52044450..52050909	gene.9373231140	+	gene	downstream	754	1.0	1.0	1.0	1.0
ChrNC_035788.1:18526119-18526119	NC_035788.1	18526119	18526119		gene-NC_035788.1:18527441..18528452	gene-NC_035788.1:18527441..18528452	gene.15857620708	+	gene	downstream	1322	1.0	1.0	1.0	1.0
ChrNC_035788.1:18526130-18526130	NC_035788.1	18526130	18526130		gene-NC_035788.1:18527441..18528452	gene-NC_035788.1:18527441..18528452	gene.15857620708	+	gene	downstream	1311	1.0	1.0	1.0	1.0
ChrNC_035789.1:18108509-18108509	NC_035789.1	18108509	18108509		gene-NC_035789.1:18108262..18108951	gene-NC_035789.1:18108262..18108951	gene.10500677	-	gene	overlapping	0	1.0	1.0	1.0	1.0
