Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2834567-2834567	NC_035780.1	2834567	2834567		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1771	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834603-2834603	NC_035780.1	2834603	2834603		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1735	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834722-2834722	NC_035780.1	2834722	2834722		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1616	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834906-2834906	NC_035780.1	2834906	2834906		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1432	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834956-2834956	NC_035780.1	2834956	2834956		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1382	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835214-2835214	NC_035780.1	2835214	2835214		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1124	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835298-2835298	NC_035780.1	2835298	2835298		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1040	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835420-2835420	NC_035780.1	2835420	2835420		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	918	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835606-2835606	NC_035780.1	2835606	2835606		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	732	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835627-2835627	NC_035780.1	2835627	2835627		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	711	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835632-2835632	NC_035780.1	2835632	2835632		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	706	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835822-2835822	NC_035780.1	2835822	2835822		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	516	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835902-2835902	NC_035780.1	2835902	2835902		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	436	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835907-2835907	NC_035780.1	2835907	2835907		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	431	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839047-2839047	NC_035780.1	2839047	2839047		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	479	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839134-2839134	NC_035780.1	2839134	2839134		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	566	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839157-2839157	NC_035780.1	2839157	2839157		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	589	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839296-2839296	NC_035780.1	2839296	2839296		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	728	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839435-2839435	NC_035780.1	2839435	2839435		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	867	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839444-2839444	NC_035780.1	2839444	2839444		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	876	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839529-2839529	NC_035780.1	2839529	2839529		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	961	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839546-2839546	NC_035780.1	2839546	2839546		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	978	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839549-2839549	NC_035780.1	2839549	2839549		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	981	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839808-2839808	NC_035780.1	2839808	2839808		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1240	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840113-2840113	NC_035780.1	2840113	2840113		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1545	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840388-2840388	NC_035780.1	2840388	2840388		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1820	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840572-2840572	NC_035780.1	2840572	2840572		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	2004	1.0	1.0	1.0	1.0
