Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:63555489-63555489	NC_035780.1	63555489	63555489		gene-NC_035780.1:63555589..63576266	gene-NC_035780.1:63555589..63576266	gene.4070593380	-	gene	upstream	100	1.0	1.0	1.0	1.0
ChrNC_035781.1:8431241-8431241	NC_035781.1	8431241	8431241		gene-NC_035781.1:8428235..8437432	gene-NC_035781.1:8428235..8437432	gene.1172349172	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:13489210-13489210	NC_035781.1	13489210	13489210		gene-NC_035781.1:13487507..13501498	gene-NC_035781.1:13487507..13501498	gene.3288353076	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:13489922-13489922	NC_035781.1	13489922	13489922		gene-NC_035781.1:13487507..13501498	gene-NC_035781.1:13487507..13501498	gene.3288353076	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:13490157-13490157	NC_035781.1	13490157	13490157		gene-NC_035781.1:13487507..13501498	gene-NC_035781.1:13487507..13501498	gene.3288353076	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:13490160-13490160	NC_035781.1	13490160	13490160		gene-NC_035781.1:13487507..13501498	gene-NC_035781.1:13487507..13501498	gene.3288353076	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035781.1:45790930-45790930	NC_035781.1	45790930	45790930		gene-NC_035781.1:45785754..45798298	gene-NC_035781.1:45785754..45798298	gene.107120548	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6256448-6256448	NC_035782.1	6256448	6256448		gene-NC_035782.1:6221115..6257535	gene-NC_035782.1:6221115..6257535	gene.8133817812	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:6256460-6256460	NC_035782.1	6256460	6256460		gene-NC_035782.1:6221115..6257535	gene-NC_035782.1:6221115..6257535	gene.8133817812	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25515394-25515394	NC_035782.1	25515394	25515394		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25517292-25517292	NC_035782.1	25517292	25517292		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035782.1:25517313-25517313	NC_035782.1	25517313	25517313		gene-NC_035782.1:25513604..25519190	gene-NC_035782.1:25513604..25519190	gene.2104965	+	gene	overlapping	0	1.0	1.0	1.0	1.0
