Probe	Chromosome	Start	End	Probe Strand	Feature	ID	Description	Feature Strand	Type	Feature Orientation	Distance	SL1-SE_exact_rc_pop9_edit6_forSeqmonk	VB2-SE_exact_rc_pop9_edit6_forSeqmonk	VB3-SE_exact_rc_pop9_edit6 _forSeqmonk	VB3_R2-SE_exact_rc_pop9_edit6_forSeqmonk
ChrNC_035780.1:2834567-2834567	NC_035780.1	2834567	2834567		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1771	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834603-2834603	NC_035780.1	2834603	2834603		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1735	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834681-2834681	NC_035780.1	2834681	2834681		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1657	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834897-2834897	NC_035780.1	2834897	2834897		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1441	1.0	1.0	1.0	1.0
ChrNC_035780.1:2834995-2834995	NC_035780.1	2834995	2834995		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1343	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835301-2835301	NC_035780.1	2835301	2835301		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	1037	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835420-2835420	NC_035780.1	2835420	2835420		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	918	1.0	1.0	1.0	1.0
ChrNC_035780.1:2835822-2835822	NC_035780.1	2835822	2835822		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	downstream	516	1.0	1.0	1.0	1.0
ChrNC_035780.1:2838508-2838508	NC_035780.1	2838508	2838508		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839549-2839549	NC_035780.1	2839549	2839549		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	981	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839630-2839630	NC_035780.1	2839630	2839630		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1062	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839642-2839642	NC_035780.1	2839642	2839642		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1074	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839643-2839643	NC_035780.1	2839643	2839643		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1075	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839875-2839875	NC_035780.1	2839875	2839875		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1307	1.0	1.0	1.0	1.0
ChrNC_035780.1:2839883-2839883	NC_035780.1	2839883	2839883		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1315	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840388-2840388	NC_035780.1	2840388	2840388		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1820	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840472-2840472	NC_035780.1	2840472	2840472		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	1904	1.0	1.0	1.0	1.0
ChrNC_035780.1:2840616-2840616	NC_035780.1	2840616	2840616		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	2048	1.0	1.0	1.0	1.0
ChrNC_035780.1:2841035-2841035	NC_035780.1	2841035	2841035		gene-NC_035780.1:2836338..2838568	gene-NC_035780.1:2836338..2838568	gene.11197749316	+	gene	upstream	2467	1.0	1.0	1.0	1.0
ChrNC_035780.1:3401514-3401514	NC_035780.1	3401514	3401514		gene-NC_035780.1:3399989..3408434	gene-NC_035780.1:3399989..3408434	gene.82409730	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:3401519-3401519	NC_035780.1	3401519	3401519		gene-NC_035780.1:3399989..3408434	gene-NC_035780.1:3399989..3408434	gene.82409730	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:3403079-3403079	NC_035780.1	3403079	3403079		gene-NC_035780.1:3399989..3408434	gene-NC_035780.1:3399989..3408434	gene.82409730	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:3403173-3403173	NC_035780.1	3403173	3403173		gene-NC_035780.1:3399989..3408434	gene-NC_035780.1:3399989..3408434	gene.82409730	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:8090348-8090348	NC_035780.1	8090348	8090348		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	upstream	22	1.0	1.0	1.0	1.0
ChrNC_035780.1:8091224-8091224	NC_035780.1	8091224	8091224		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:8091635-8091635	NC_035780.1	8091635	8091635		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
ChrNC_035780.1:8091680-8091680	NC_035780.1	8091680	8091680		gene-NC_035780.1:8090370..8098992	gene-NC_035780.1:8090370..8098992	gene.12057580196	-	gene	overlapping	0	1.0	1.0	1.0	1.0
